Company_Name,Short_Description,RE_Strategy_Codes,RE_Strategy_Names,City,Region,Country
Voltfang,Voltfang develops home storage solutions for private houses using recycled traction batteries.,R8,Recycle,Aachen,Nordrhein-Westfalen,Germany
Root Global,Root Global develops carbon accounting and emissions management platforms to help companies manage and reduce their environmental footprint.,R2,Reduce,Berlin,Berlin,Germany
Plan A,"Plan A is a GreenTech company that develops a carbon quantification platform to measure, monitor, and reduce environmental footprint.",R2,Reduce,Berlin,Berlin,Germany
Endel,"Endel is a cross-platform audio ecosystem that creates personalized soundscapes to reduce stress, improve sleep, and boost productivity.",R2,Reduce,Berlin,Berlin,Germany
Mammaly,"Mammaly, a pet health startup that develops a range of snacks specifically targeting and helping reduce the severity of aging dog issues.",R2,Reduce,Köln,Nordrhein-Westfalen,Germany
Planetly,"Planetly is building the software to analyze, reduce and offset your carbon footprint.",R2,Reduce,Berlin,Berlin,Germany
Electrochaea,"Electrochaea develops a commercially viable and disruptive solution for utility-scale energy storage, grid balancing, and carbon reuse.",R3,Reuse,Planegg,Bayern,Germany
Myos,"Rethinking working capital | Myos helps merchants of all kind grow to scale, fully digital, flexible and without personal guarantees",R1,Rethink,Berlin,Berlin,Germany
aedifion,"Buildings Simply Made Better: The AI-based cloud platform enables us to reduce energy waste, CO2 emissions and operating costs of buildings.",R2,Reduce,Cologne,Nordrhein-Westfalen,Germany
Circunomics,Circular Intelligence Platform for the Battery Economy. We predict when batteries become available and tender them for reuse or recycling,R3,Reuse,Mainz,Rheinland-Pfalz,Germany
CargoBeamer,CargoBeamer is a transport system that enables non-craneable semi-trailers to use rail and reduces carbon emissions at scale.,R2,Reduce,Leipzig,Sachsen,Germany
Recare,Recare rethinks discharge management. Our digital solutions optimize the clinical pathways between hospitals and care providers.,R1,Rethink,Berlin,Berlin,Germany
Orcan Energy,Orcan Energy is a waste heat recovery tech company developing ORC platform technology to produce mechanical energy and electricity.,R9,Recover,München,Bayern,Germany
Elixion Medical,"Reduce care shortage with medical IoT devices, SaaS & AI",R2,Reduce,Düsseldorf,Nordrhein-Westfalen,Germany
Doozer,Doozer is an online platform to contract craftsmen and companies to repair and renovate real estate.,R4,Repair,Berlin,Berlin,Germany
Sizekick,Sizekick uses AI and computer vision technology to reduce returns in fashion e-commerce.,R2,Reduce,Munich,Bayern,Germany
Rebolet,"Rebolet empowers e-commerce shops to streamline returns, enhance recommerce, and reduce carbon emissions with AI and data analytics.",R2,Reduce,Berlin,Berlin,Germany
Vemcon,Vemcon is a rethinks machine control.,R1,Rethink,Garching Bei München,Bayern,Germany
basebox AI_,All-in-one AI integration platform for automating healthcare administration to reduce the costs of service delivery. (SaaS),R2,Reduce,Utting Am Ammersee,Bayern,Germany
Oceansix,Oceansix is a Germany based company focused on developing technologies and product solutions from recovered materials.,R9,Recover,Berlin,Berlin,Germany
Carelane,Carelane uses digital health technology to reduce inefficiencies in clinical trials.,R2,Reduce,Bremen,Bremen,Germany
MAGMENT,MAGMENT develops an innovative concrete material created from cement and recycled magnetic particles that enhances the transfer of energy.,R8,Recycle,Unterhaching,Bayern,Germany
Space Products and Innovation,SPIN is a space company specializing in satellite hardware development that reduces cost and satellite manufacturing.,R2,Reduce,Darmstadt,Hessen,Germany
Zeedz,Zeedz is the first game that allows players to reduce global carbon emissions by collecting plant-inspired creatures.,R2,Reduce,Berlin,Berlin,Germany
CYKERO,German company with a French touch! Cykero is selling in wholesale used and refurbished devices in B2B & B2C across Europe.,R5,Refurbish,Berlin,Berlin,Germany
Xara,"Produce marketing and sales content in minutes. Create, collaborate, and reduce design tasks for more productivity and brand consistency.",R2,Reduce,Berlin,Berlin,Germany
Accurec,"Accurec is a battery recycling company that recycles Nickel-Cadmium (NiCd) , Nickel-Metall hydride (NiMH) and Lithium (Li) batteries.",R8,Recycle,Krefeld,Nordrhein-Westfalen,Germany
