Company_Name,Short_Description,RE_Strategy_Codes,RE_Strategy_Names,City,Region,Country,openai_answer
Voltfang,Voltfang develops home storage solutions for private houses using recycled traction batteries.,R8,Recycle,Aachen,Nordrhein-Westfalen,Germany,"RR8: ""Recycle"""
Root Global,Root Global develops carbon accounting and emissions management platforms to help companies manage and reduce their environmental footprint.,R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Plan A,"Plan A is a GreenTech company that develops a carbon quantification platform to measure, monitor, and reduce environmental footprint.",R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Endel,"Endel is a cross-platform audio ecosystem that creates personalized soundscapes to reduce stress, improve sleep, and boost productivity.",R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Mammaly,"Mammaly, a pet health startup that develops a range of snacks specifically targeting and helping reduce the severity of aging dog issues.",R2,Reduce,Köln,Nordrhein-Westfalen,Germany,"RR2: ""Reduce"""
Planetly,"Planetly is building the software to analyze, reduce and offset your carbon footprint.",R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Electrochaea,"Electrochaea develops a commercially viable and disruptive solution for utility-scale energy storage, grid balancing, and carbon reuse.",R3,Reuse,Planegg,Bayern,Germany,"RR3: ""Reuse"""
Myos,"Rethinking working capital | Myos helps merchants of all kind grow to scale, fully digital, flexible and without personal guarantees",R1,Rethink,Berlin,Berlin,Germany,"RR1: ""Rethink"""
aedifion,"Buildings Simply Made Better: The AI-based cloud platform enables us to reduce energy waste, CO2 emissions and operating costs of buildings.",R2,Reduce,Cologne,Nordrhein-Westfalen,Germany,"RR2: ""Reduce"""
Circunomics,Circular Intelligence Platform for the Battery Economy. We predict when batteries become available and tender them for reuse or recycling,R3,Reuse,Mainz,Rheinland-Pfalz,Germany,"RR3: ""Reuse"""
CargoBeamer,CargoBeamer is a transport system that enables non-craneable semi-trailers to use rail and reduces carbon emissions at scale.,R2,Reduce,Leipzig,Sachsen,Germany,"RR2: ""Reduce"""
Recare,Recare rethinks discharge management. Our digital solutions optimize the clinical pathways between hospitals and care providers.,R1,Rethink,Berlin,Berlin,Germany,"RR1: ""Rethink"""
Orcan Energy,Orcan Energy is a waste heat recovery tech company developing ORC platform technology to produce mechanical energy and electricity.,R9,Recover,München,Bayern,Germany,"RR9: ""Recover"""
